band	brightness	koef
212.000000	2.414384	0.828369
213.000000	2.263699	0.883510
214.000000	2.457192	0.813937
215.000000	2.465753	0.811111
216.000000	2.561644	0.780749
217.000000	2.441781	0.819074
218.000000	2.493151	0.802198
219.000000	2.250000	0.888889
220.000000	2.191781	0.912500
221.000000	2.460616	0.812804
222.000000	2.450342	0.816212
223.000000	2.513699	0.795640
224.000000	2.684932	0.744898
225.000000	2.583904	0.774023
226.000000	2.251712	0.888213
227.000000	2.328767	0.858824
228.000000	2.315068	0.863905
229.000000	2.366438	0.845152
230.000000	2.431507	0.822535
231.000000	2.265411	0.882842
232.000000	2.333904	0.856933
233.000000	2.422945	0.825442
234.000000	2.402397	0.832502
235.000000	2.434932	0.821378
236.000000	2.549658	0.784419
237.000000	2.321918	0.861357
238.000000	2.631849	0.759922
239.000000	2.518836	0.794018
240.000000	2.268836	0.881509
241.000000	2.522260	0.792940
242.000000	2.508562	0.797270
243.000000	2.450342	0.816212
244.000000	2.385274	0.838478
245.000000	2.647260	0.755498
246.000000	2.573630	0.777112
247.000000	2.443493	0.818500
248.000000	2.354452	0.849455
249.000000	2.159247	0.926249
250.000000	2.328767	0.858824
251.000000	2.450342	0.816212
252.000000	2.625000	0.761905
253.000000	2.311644	0.865185
254.000000	2.732877	0.731830
255.000000	2.366438	0.845152
256.000000	2.633562	0.759428
257.000000	2.344178	0.853178
258.000000	2.419521	0.826610
259.000000	2.356164	0.848837
260.000000	2.491438	0.802749
261.000000	2.609589	0.766404
262.000000	2.419521	0.826610
263.000000	2.539384	0.787593
264.000000	2.553082	0.783367
265.000000	2.544521	0.786003
266.000000	2.594178	0.770957
267.000000	2.546233	0.785474
268.000000	2.333904	0.856933
269.000000	2.505137	0.798360
270.000000	2.327055	0.859455
271.000000	2.395548	0.834882
272.000000	2.398973	0.833690
273.000000	2.484589	0.804962
274.000000	2.570205	0.778148
275.000000	2.498288	0.800548
276.000000	2.232877	0.895706
277.000000	2.441781	0.819074
278.000000	2.496575	0.801097
279.000000	2.585616	0.773510
280.000000	2.666096	0.750161
281.000000	2.599315	0.769433
282.000000	2.613014	0.765400
283.000000	2.565068	0.779706
284.000000	2.452055	0.815642
285.000000	2.503425	0.798906
286.000000	2.402397	0.832502
287.000000	2.722603	0.734591
288.000000	2.472603	0.808864
289.000000	2.618151	0.763898
290.000000	2.631849	0.759922
291.000000	2.659247	0.752093
292.000000	2.438356	0.820225
293.000000	2.361301	0.846991
294.000000	2.541096	0.787062
295.000000	2.546233	0.785474
296.000000	2.511986	0.796183
297.000000	2.683219	0.745373
298.000000	2.763699	0.723668
299.000000	2.462329	0.812239
300.000000	2.426370	0.824277
301.000000	2.655822	0.753063
302.000000	2.618151	0.763898
303.000000	2.498288	0.800548
304.000000	2.493151	0.802198
305.000000	2.380137	0.840288
306.000000	2.311644	0.865185
307.000000	2.535959	0.788656
308.000000	2.676370	0.747281
309.000000	2.390411	0.836676
310.000000	2.683219	0.745373
311.000000	2.534247	0.789189
312.000000	2.669521	0.749198
313.000000	2.472603	0.808864
314.000000	2.301370	0.869048
315.000000	2.544521	0.786003
316.000000	2.542808	0.786532
317.000000	2.479452	0.806630
318.000000	2.537671	0.788124
319.000000	2.696918	0.741587
320.000000	2.618151	0.763898
321.000000	2.498288	0.800548
322.000000	2.544521	0.786003
323.000000	2.436644	0.820801
324.000000	2.604452	0.767916
325.000000	2.575342	0.776596
326.000000	2.494863	0.801647
327.000000	2.530822	0.790257
328.000000	2.513699	0.795640
329.000000	2.602740	0.768421
330.000000	2.671233	0.748718
331.000000	2.654110	0.753548
332.000000	2.498288	0.800548
333.000000	2.464041	0.811675
334.000000	2.635274	0.758934
335.000000	2.691781	0.743003
336.000000	2.618151	0.763898
337.000000	2.467466	0.810548
338.000000	2.589041	0.772487
339.000000	2.618151	0.763898
340.000000	2.416096	0.827782
341.000000	2.573630	0.777112
342.000000	2.729452	0.732748
343.000000	2.491438	0.802749
344.000000	2.734589	0.731371
345.000000	2.464041	0.811675
346.000000	2.785959	0.717886
347.000000	2.565068	0.779706
348.000000	2.535959	0.788656
349.000000	2.792808	0.716125
350.000000	2.400685	0.833096
