0.0 0.0 367.0
0.0 5.0 366.0
0.0 10.0 366.0
0.0 15.0 366.0
0.0 20.0 366.0
0.0 25.0 366.0
0.0 30.0 367.0
0.0 35.0 366.0
0.0 40.0 366.0
0.0 45.0 366.0
0.0 50.0 366.0
0.0 55.0 366.0
0.0 60.0 366.0
0.0 65.0 366.0
0.0 70.0 366.0
0.0 75.0 366.0
0.0 80.0 366.0
0.0 85.0 366.0
0.0 90.0 366.0
0.0 95.0 366.0
0.0 100.0 367.0
0.0 105.0 367.0
0.0 110.0 367.0
0.0 115.0 368.0
0.0 120.0 367.0
0.0 125.0 368.0
0.0 130.0 369.0
0.0 135.0 369.0
0.0 140.0 370.0
0.0 145.0 369.0
0.0 150.0 370.0
0.0 155.0 370.0
0.0 160.0 370.0
0.0 165.0 369.0
0.0 170.0 369.0
0.0 175.0 369.0
0.0 180.0 368.0
0.0 185.0 366.0
0.0 190.0 365.0
0.0 195.0 364.0
0.0 200.0 363.0
0.0 205.0 362.0
0.0 210.0 360.0
0.0 215.0 361.0
0.0 220.0 361.0
0.0 225.0 362.0
0.0 230.0 364.0
0.0 235.0 364.0
0.0 240.0 364.0
0.0 245.0 365.0
0.0 250.0 364.0
0.0 255.0 365.0
0.0 260.0 366.0
0.0 265.0 367.0
0.0 270.0 368.0
1.4 0.0 365.0
1.4 5.0 365.0
1.4 10.0 365.0
1.4 15.0 366.0
1.4 20.0 365.0
1.4 25.0 365.0
1.4 30.0 365.0
1.4 35.0 365.0
1.4 40.0 365.0
1.4 45.0 365.0
1.4 50.0 365.0
1.4 55.0 365.0
1.4 60.0 365.0
1.4 65.0 366.0
1.4 70.0 365.0
1.4 75.0 365.0
1.4 80.0 365.0
1.4 85.0 365.0
1.4 90.0 365.0
1.4 95.0 366.0
1.4 100.0 366.0
1.4 105.0 366.0
1.4 110.0 367.0
1.4 115.0 368.0
1.4 120.0 369.0
1.4 125.0 369.0
1.4 130.0 370.0
1.4 135.0 370.0
1.4 140.0 372.0
1.4 145.0 372.0
1.4 150.0 372.0
1.4 155.0 371.0
1.4 160.0 370.0
1.4 165.0 371.0
1.4 170.0 371.0
1.4 175.0 369.0
1.4 180.0 369.0
1.4 185.0 368.0
1.4 190.0 368.0
1.4 195.0 363.0
1.4 200.0 362.0
1.4 205.0 359.0
1.4 210.0 357.0
1.4 215.0 356.0
1.4 220.0 357.0
1.4 225.0 358.0
1.4 230.0 359.0
1.4 235.0 361.0
1.4 240.0 361.0
1.4 245.0 363.0
1.4 250.0 362.0
1.4 255.0 362.0
1.4 260.0 364.0
1.4 265.0 366.0
1.4 270.0 367.0
2.8 0.0 367.0
2.8 5.0 366.0
2.8 10.0 367.0
2.8 15.0 367.0
2.8 20.0 366.0
2.8 25.0 366.0
2.8 30.0 367.0
2.8 35.0 367.0
2.8 40.0 367.0
2.8 45.0 366.0
2.8 50.0 367.0
2.8 55.0 366.0
2.8 60.0 367.0
2.8 65.0 367.0
2.8 70.0 367.0
2.8 75.0 367.0
2.8 80.0 366.0
2.8 85.0 367.0
2.8 90.0 367.0
2.8 95.0 367.0
2.8 100.0 368.0
2.8 105.0 369.0
2.8 110.0 370.0
2.8 115.0 371.0
2.8 120.0 372.0
2.8 125.0 373.0
2.8 130.0 373.0
2.8 135.0 374.0
2.8 140.0 374.0
2.8 145.0 373.0
2.8 150.0 374.0
2.8 155.0 374.0
2.8 160.0 373.0
2.8 165.0 373.0
2.8 170.0 374.0
2.8 175.0 374.0
2.8 180.0 375.0
2.8 185.0 373.0
2.8 190.0 371.0
2.8 195.0 367.0
2.8 200.0 364.0
2.8 205.0 359.0
2.8 210.0 358.0
2.8 215.0 355.0
2.8 220.0 357.0
2.8 225.0 358.0
2.8 230.0 360.0
2.8 235.0 361.0
